COMPUTATIONAL INTELLIGENCE PROJECT REPORT
=========================================
Student: s347245
Parameters: Alpha=1.00, Beta=2.00, Density=0.22, Cities=100
=========================================

PERFORMANCE COMPARISON
-------------------------
 - Baseline Cost:       5,334,401.9
 - Algorithm Cost:      4,020,354.9
 - Absolute Improvement: 1,314,047.0
 - % Improvement:       24.63%
 - Result:              IMPROVEMENT

CITY COVERAGE DETAIL:
City ID    | Available    | Visits  
-----------------------------------
1          | 777.6        | 1       
2          | 971.9        | 2       
3          | 501.2        | 1       
4          | 144.8        | 1       
5          | 14.9         | 1       
6          | 230.4        | 1       
7          | 132.7        | 1       
8          | 678.0        | 1       
9          | 122.7        | 1       
10         | 506.8        | 1       
11         | 694.6        | 1       
12         | 581.5        | 1       
13         | 200.6        | 1       
14         | 804.3        | 2       
15         | 715.7        | 1       
16         | 739.2        | 1       
17         | 131.9        | 1       
18         | 124.6        | 1       
19         | 927.6        | 2       
20         | 398.2        | 1       
21         | 301.6        | 1       
22         | 489.1        | 1       
23         | 663.2        | 1       
24         | 955.7        | 2       
25         | 287.2        | 1       
26         | 924.9        | 2       
27         | 25.8         | 1       
28         | 555.6        | 1       
29         | 634.3        | 1       
30         | 106.8        | 1       
31         | 141.2        | 1       
32         | 419.7        | 1       
33         | 966.3        | 2       
34         | 596.4        | 1       
35         | 933.1        | 2       
36         | 804.6        | 2       
37         | 467.9        | 1       
38         | 785.0        | 2       
39         | 18.8         | 1       
40         | 110.0        | 1       
41         | 829.6        | 2       
42         | 797.0        | 2       
43         | 233.4        | 1       
44         | 531.2        | 1       
45         | 606.4        | 1       
46         | 867.9        | 2       
47         | 603.5        | 1       
48         | 413.2        | 1       
49         | 374.8        | 1       
50         | 426.5        | 1       
51         | 652.3        | 1       
52         | 867.6        | 2       
53         | 454.4        | 1       
54         | 248.6        | 1       
55         | 237.4        | 1       
56         | 746.3        | 1       
57         | 816.8        | 2       
58         | 106.2        | 1       
59         | 67.5         | 1       
60         | 594.8        | 1       
61         | 147.0        | 1       
62         | 824.8        | 2       
63         | 311.0        | 1       
64         | 144.7        | 1       
65         | 921.0        | 2       
66         | 166.4        | 1       
67         | 285.4        | 1       
68         | 154.5        | 1       
69         | 116.4        | 1       
70         | 22.1         | 1       
71         | 56.3         | 1       
72         | 175.5        | 1       
73         | 54.3         | 1       
74         | 591.6        | 1       
75         | 681.0        | 1       
76         | 394.2        | 1       
77         | 318.7        | 1       
78         | 505.0        | 1       
79         | 875.1        | 2       
80         | 851.3        | 2       
81         | 44.4         | 1       
82         | 182.3        | 1       
83         | 237.5        | 1       
84         | 250.1        | 1       
85         | 571.7        | 1       
86         | 416.8        | 1       
87         | 50.2         | 1       
88         | 374.2        | 1       
89         | 524.2        | 1       
90         | 102.6        | 1       
91         | 833.6        | 2       
92         | 52.9         | 1       
93         | 924.9        | 2       
94         | 100.0        | 1       
95         | 843.7        | 2       
96         | 902.8        | 2       
97         | 979.6        | 2       
98         | 802.2        | 2       
99         | 779.7        | 1       

TRIP LOG:
Trip #   | Load         | Path
------------------------------------------------------------
Trip #1   | Load: 1138.8 | Path: 0 -> 56 -> 38 -> 0
Trip #2   | Load: 374.2  | Path: 0 -> 88 -> 0
Trip #3   | Load: 739.2  | Path: 0 -> 16 -> 0
Trip #4   | Load: 462.4  | Path: 0 -> 26 -> 0
Trip #5   | Load: 506.8  | Path: 0 -> 10 -> 0
Trip #6   | Load: 408.4  | Path: 0 -> 57 -> 0
Trip #7   | Load: 460.5  | Path: 0 -> 65 -> 0
Trip #8   | Load: 477.8  | Path: 0 -> 24 -> 0
Trip #9   | Load: 287.2  | Path: 0 -> 25 -> 0
Trip #10  | Load: 591.6  | Path: 0 -> 74 -> 0
Trip #11  | Load: 460.5  | Path: 0 -> 65 -> 0
Trip #12  | Load: 723.4  | Path: 0 -> 62 -> 63 -> 0
Trip #13  | Load: 131.9  | Path: 0 -> 17 -> 0
Trip #14  | Load: 301.6  | Path: 0 -> 21 -> 0
Trip #15  | Load: 402.3  | Path: 0 -> 36 -> 0
Trip #16  | Load: 489.8  | Path: 0 -> 97 -> 0
Trip #17  | Load: 433.9  | Path: 0 -> 46 -> 0
Trip #18  | Load: 124.6  | Path: 0 -> 18 -> 0
Trip #19  | Load: 182.3  | Path: 0 -> 82 -> 0
Trip #20  | Load: 466.5  | Path: 0 -> 35 -> 0
Trip #21  | Load: 603.5  | Path: 0 -> 47 -> 0
Trip #22  | Load: 462.4  | Path: 0 -> 26 -> 0
Trip #23  | Load: 402.3  | Path: 0 -> 36 -> 0
Trip #24  | Load: 318.7  | Path: 0 -> 77 -> 0
Trip #25  | Load: 237.5  | Path: 0 -> 83 -> 0
Trip #26  | Load: 398.2  | Path: 0 -> 20 -> 0
Trip #27  | Load: 489.8  | Path: 0 -> 97 -> 0
Trip #28  | Load: 433.9  | Path: 0 -> 46 -> 0
